word,probability
hong,"{-1: 0.0009355995633868704, 0: 0.0005078720162519045, 1: 0.0006240898689411275}"
kong,"{-1: 0.0009355995633868704, 0: 0.0005078720162519045, 1: 0.0006240898689411275}"
crypto,"{-1: 0.020349290503664432, 0: 0.005417301506686982, 1: 0.022189862006795645}"
trader,"{-1: 0.0017152658662092624, 0: 0.0006771626883358727, 1: 0.0017335829692809099}"
tour,"{-1: 0.0016372992359270232, 0: 0.001015744032503809, 1: 0.0013175230566534915}"
market,"{-1: 0.00686106346483705, 0: 0.0037243947858473, 1: 0.008113168296234657}"
cryptocurrency,"{-1: 0.012240760954311555, 0: 0.005925173522938886, 1: 0.012204424103737605}"
rally,"{-1: 0.012474660845158272, 0: 0.009141696292534281, 1: 0.012273767422508842}"
feature,"{-1: 0.002806798690160611, 0: 0.0015236160487557136, 1: 0.0038138825324180014}"
security,"{-1: 0.0017152658662092624, 0: 0.0011850347045877772, 1: 0.0018722696068233825}"
hole,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 0.0001386866375424728}"
ico,"{-1: 0.003976298144394199, 0: 0.004232266802099204, 1: 0.004646002357672838}"
smash,"{-1: 0.0014813659753625447, 0: 0.00033858134416793635, 1: 0.0004854032313986547}"
brake,"{-1: 0.0001559332605644784, 0: 0.00016929067208396818, 1: 6.93433187712364e-05}"
wendy,"{-1: 0.0008576329331046312, 0: 0.0005078720162519045, 1: 0.0006240898689411275}"
mcelroy,"{-1: 0.0009355995633868704, 0: 0.0005078720162519045, 1: 0.0006240898689411275}"
free,"{-1: 0.0007016996725401528, 0: 0.00033858134416793635, 1: 0.0006240898689411275}"
throne,"{-1: 0.0012474660845158273, 0: 0.001015744032503809, 1: 0.0022189862006795646}"
offer,"{-1: 0.0028847653204428503, 0: 0.002200778737091586, 1: 0.0030511060259344014}"
police,"{-1: 0.0027288320598783723, 0: 0.0013543253766717454, 1: 0.001594896331738437}"
city,"{-1: 0.0004677997816934352, 0: 0.0006771626883358727, 1: 0.0004854032313986547}"
enforce,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 0.00034671659385618195}"
moratorium,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 0.0001386866375424728}"
hunt,"{-1: 0.000389833151411196, 0: 0.00033858134416793635, 1: 0.00041605991262741833}"
blockchain,"{-1: 0.003430531732418525, 0: 0.00186219739292365, 1: 0.0025657027945357467}"
new,"{-1: 0.006939030095119289, 0: 0.004062976130015236, 1: 0.007835795021149712}"
closure,"{-1: 0.0013254327147980665, 0: 0.0013543253766717454, 1: 0.0011788364191110186}"
explorer,"{-1: 7.79666302822392e-05, 0: 0.00033858134416793635, 1: 0.0002773732750849456}"
binance,"{-1: 0.0005457664119756744, 0: 0.00033858134416793635, 1: 0.0009708064627973094}"
warn,"{-1: 0.001169499454233588, 0: 0.0006771626883358727, 1: 0.001040149781568546}"
japan,"{-1: 0.0018711991267737408, 0: 0.0013543253766717454, 1: 0.002981762707163165}"
fsa,"{-1: 7.79666302822392e-05, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
criticiz,"{-1: 7.79666302822392e-05, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
reporter,"{-1: 0.0001559332605644784, 0: 0.00016929067208396818, 1: 0.0001386866375424728}"
putin,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 0.0005547465501698911}"
mandate,"{-1: 0.0001559332605644784, 0: 0.00033858134416793635, 1: 0.00020802995631370917}"
regulation,"{-1: 0.0037423982535474817, 0: 0.0035551041137633316, 1: 0.0038138825324180014}"
settle,"{-1: 0.000779666302822392, 0: 0.00033858134416793635, 1: 0.00034671659385618195}"
july,"{-1: 7.79666302822392e-05, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
silk,"{-1: 0.0002338998908467176, 0: 0.00033858134416793635, 1: 0.0002773732750849456}"
road,"{-1: 0.0002338998908467176, 0: 0.00033858134416793635, 1: 0.00034671659385618195}"
mystery,"{-1: 0.0004677997816934352, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
service,"{-1: 0.0017152658662092624, 0: 0.0015236160487557136, 1: 0.002080299563137092}"
broker,"{-1: 0.0003118665211289568, 0: 0.00033858134416793635, 1: 0.00034671659385618195}"
conviction,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 0.00034671659385618195}"
poor,"{-1: 0.0007016996725401528, 0: 0.00016929067208396818, 1: 0.0005547465501698911}"
internet,"{-1: 0.0005457664119756744, 0: 0.0005078720162519045, 1: 0.0009014631440260731}"
admission,"{-1: 0.0004677997816934352, 0: 0.0005078720162519045, 1: 0.00041605991262741833}"
easy,"{-1: 0.0002338998908467176, 0: 0.0006771626883358727, 1: 0.0006934331877123639}"
development,"{-1: 0.0005457664119756744, 0: 0.00016929067208396818, 1: 0.0006934331877123639}"
africa,"{-1: 0.0004677997816934352, 0: 0.0006771626883358727, 1: 0.0004854032313986547}"
bitcoin,"{-1: 0.03414938406362077, 0: 0.03064161164719824, 1: 0.03904028846820609}"
core,"{-1: 0.000389833151411196, 0: 0.0005078720162519045, 1: 0.0004854032313986547}"
fee,"{-1: 0.000779666302822392, 0: 0.00033858134416793635, 1: 0.0006240898689411275}"
tumble,"{-1: 0.000389833151411196, 0: 0.0005078720162519045, 1: 0.00041605991262741833}"
small,"{-1: 0.0010135661936691096, 0: 0.0008464533604198408, 1: 0.0007627765064836003}"
year,"{-1: 0.0010915328239513489, 0: 0.0008464533604198408, 1: 0.0015255530129672007}"
update,"{-1: 0.0030406985810073287, 0: 0.0015236160487557136, 1: 0.0036058525761042924}"
swap,"{-1: 0.0057695306408857006, 0: 0.004232266802099204, 1: 0.005478122182927675}"
activity,"{-1: 0.0013254327147980665, 0: 0.0005078720162519045, 1: 0.001040149781568546}"
heat,"{-1: 0.0001559332605644784, 0: 0.00033858134416793635, 1: 0.0006240898689411275}"
